time;mad11;mad12;mad13
01/08/2023 00:00;0,5355904;0,5042317;0,49348962
01/08/2023 00:00;0,5355904;0,5042317;0,49348962
01/08/2023 00:00;0,5355904;0,5042317;0,49348962
01/08/2023 00:00;0,5355904;0,5042317;0,49348962
01/08/2023 00:00;0,5355904;0,5042317;0,49348962
01/08/2023 00:00;0,5355904;0,5042317;0,49348962
01/08/2023 00:01;0,5355904;0,5021701;0,49348962
01/08/2023 00:01;0,5355904;0,5021701;0,49348962
01/08/2023 00:01;0,5355904;0,5021701;0,49348962
01/08/2023 00:01;0,5355904;0,5021701;0,49348962
01/08/2023 00:01;0,5355904;0,5021701;0,49348962
01/08/2023 00:01;0,5355904;0,5021701;0,49348962
01/08/2023 00:02;0,5355904;0,5021701;0,49348962
01/08/2023 00:02;0,5355904;0,5021701;0,49348962
01/08/2023 00:02;0,5355904;0,5021701;0,49348962
01/08/2023 00:02;0,5355904;0,5021701;0,49348962
01/08/2023 00:02;0,5355904;0,5021701;0,49348962
01/08/2023 00:02;0,5355904;0,5021701;0,49348962
01/08/2023 00:03;0,5355904;0,5021701;0,49348962
01/08/2023 00:03;0,5355904;0,5021701;0,49348962
01/08/2023 00:03;0,5355904;0,5021701;0,49348962
01/08/2023 00:03;0,5355904;0,5021701;0,49348962
01/08/2023 00:03;0,5355904;0,5021701;0,49348962
01/08/2023 00:03;0,5355904;0,5021701;0,49348962
01/08/2023 00:04;0,5355904;0,5021701;0,49348962
01/08/2023 00:04;0,5355904;0,5021701;0,49348962
01/08/2023 00:04;0,5355904;0,5021701;0,49348962
01/08/2023 00:04;0,5355904;0,5021701;0,49348962
01/08/2023 00:04;0,5355904;0,5021701;0,49055994
01/08/2023 00:04;0,5355904;0,5021701;0,49055994
01/08/2023 00:05;0,5355904;0,5021701;0,49055994
01/08/2023 00:05;0,5355904;0,5021701;0,49055994
01/08/2023 00:05;0,5355904;0,5021701;0,49055994
01/08/2023 00:05;0,5355904;0,5021701;0,49055994
01/08/2023 00:05;0,5355904;0,5021701;0,49055994
01/08/2023 00:05;0,5355904;0,5021701;0,49055994
01/08/2023 00:06;0,5355904;0,5021701;0,4915365
01/08/2023 00:06;0,5355904;0,5021701;0,4915365
01/08/2023 00:06;0,5355904;0,5021701;0,4915365
01/08/2023 00:06;0,5355904;0,5021701;0,4915365
01/08/2023 00:06;0,5355904;0,5021701;0,4915365
01/08/2023 00:06;0,5355904;0,5021701;0,4915365
