TIME;SELECTED TURBINE SPEED;1r;2r;3r;4r;potencia
19/01/2023 12:00;121,96971;15,119765;15,943622;23,788244;24,129957;0
19/01/2023 12:10;122,01355;14,898085;15,962704;24,786488;23,457142;0
19/01/2023 12:20;121,999466;15,562047;15,855814;25,10093;24,485289;0
19/01/2023 12:30;122,01151;15,073136;15,518242;24,7524;24,062849;0
19/01/2023 12:40;122,040054;15,513151;15,637327;24,67327;23,87794;0
19/01/2023 12:50;121,996124;15,44658;16,133718;23,966555;23,388222;0
19/01/2023 13:00;122,019615;15,187686;15,50671;24,134466;24,116676;0
19/01/2023 13:10;122,04876;15,402068;16,040926;24,580795;23,73834;0
19/01/2023 13:20;122,004585;14,841377;15,65492;23,93081;23,708086;0
19/01/2023 13:30;122,00527;15,1817875;15,095841;24,200388;23,67906;0
19/01/2023 13:40;121,99565;15,0865345;15,939247;23,453527;24,244139;0
19/01/2023 13:50;122,02009;14,902167;15,2399435;24,574162;23,806831;0
19/01/2023 14:00;121,998665;15,237716;15,489872;24,626177;24,019432;0
19/01/2023 14:10;121,965065;15,469851;15,287468;23,97225;23,264618;0
19/01/2023 14:20;121,95224;15,371702;15,766619;23,723955;23,986996;0
19/01/2023 14:30;121,92948;15,181527;15,476267;23,664494;23,876442;0
19/01/2023 14:40;122,03542;15,448447;15,377787;24,0132;23,729004;0
19/01/2023 14:50;122,040245;15,15775;15,892483;24,050287;23,610184;0
19/01/2023 15:00;122,02404;15,561579;15,128224;24,173244;24,349348;0
19/01/2023 15:10;122,02305;15,270221;15,948674;23,809689;23,7775;0
19/01/2023 15:20;122,05168;14,913873;15,584375;24,579348;24,203989;0
19/01/2023 15:30;121,99526;15,271371;15,33039;23,996944;23,582804;0
19/01/2023 15:40;122,04992;15,361409;15,494797;24,194283;23,566418;0
19/01/2023 15:50;122,06988;15,393127;15,152404;23,63981;23,386679;0
19/01/2023 16:00;122,01175;15,089128;15,441816;23,828245;23,95315;0
19/01/2023 16:10;121,98394;14,639895;15,650385;24,633284;23,419834;0
19/01/2023 16:20;121,999115;14,863557;15,583646;24,5005;23,68769;0
19/01/2023 16:30;122,06636;15,37802;15,2050085;24,169588;23,710178;0
19/01/2023 16:40;122,03644;14,615724;15,860137;25,273266;23,351175;0
19/01/2023 16:50;122,04574;15,184682;15,449533;24,375849;23,965649;0
19/01/2023 17:00;122,034744;14,759509;15,943211;24,278801;23,71038;0
19/01/2023 17:10;122,00903;15,779001;15,958095;24,208715;23,84834;0
19/01/2023 17:20;122,027306;15,088044;15,310293;24,306044;23,700232;0
19/01/2023 17:30;122,03535;15,020002;15,624719;24,454048;23,723923;0
19/01/2023 17:40;122,0393;15,533936;15,675201;24,6532;23,834766;0
19/01/2023 17:50;122,03351;15,206659;15,513445;24,060411;23,970407;0
19/01/2023 18:00;122,09071;14,899684;16,065393;24,572245;24,051779;0
19/01/2023 18:10;121,993675;15,129704;15,80858;24,048857;23,306097;0
