time;mad11;mad12;mad13
04/08/2023 07:00;0,6204426;0,5859375;0,5813801
04/08/2023 07:01;0,6215279;0,58702254;0,5813801
04/08/2023 07:02;0,6215279;0,58702254;0,5813801
04/08/2023 07:03;0,6215279;0,58702254;0,5813801
04/08/2023 07:04;0,6215279;0,58702254;0,5824654
04/08/2023 07:05;0,6215279;0,58702254;0,5824654
04/08/2023 07:06;0,6225045;0,58702254;0,5824654
04/08/2023 07:07;0,6225045;0,58702254;0,5824654
04/08/2023 07:08;0,6225045;0,58702254;0,5824654
04/08/2023 07:09;0,6225045;0,58702254;0,5824654
04/08/2023 07:10;0,6225045;0,58702254;0,5824654
04/08/2023 07:11;0,6225045;0,58702254;0,5824654
04/08/2023 07:12;0,6225045;0,58702254;0,5824654
04/08/2023 07:13;0,6225045;0,58702254;0,5824654
04/08/2023 07:14;0,6225045;0,58702254;0,5824654
04/08/2023 07:15;0,6225045;0,58702254;0,5824654
04/08/2023 07:16;0,6225045;0,5878906;0,5824654
04/08/2023 07:17;0,62348104;0,5878906;0,5824654
04/08/2023 07:18;0,62348104;0,5878906;0,5824654
04/08/2023 07:19;0,62348104;0,5878906;0,5824654
04/08/2023 07:20;0,62348104;0,5878906;0,584527
04/08/2023 07:21;0,62348104;0,58897567;0,584527
04/08/2023 07:22;0,62348104;0,58897567;0,584527
04/08/2023 07:23;0,62348104;0,58897567;0,584527
04/08/2023 07:24;0,62348104;0,58897567;0,5824654
04/08/2023 07:25;0,62348104;0,58897567;0,58279085
04/08/2023 07:26;0,62348104;0,5881076;0,58279085
04/08/2023 07:27;0,62348104;0,5881076;0,58279085
04/08/2023 07:28;0,62348104;0,5881076;0,58279085
04/08/2023 07:29;0,62348104;0,5881076;0,58279085
04/08/2023 07:30;0,62348104;0,5881076;0,58279085
04/08/2023 07:31;0,62348104;0,5881076;0,58355045
04/08/2023 07:32;0,62348104;0,5881076;0,58355045
04/08/2023 07:33;0,62348104;0,5881076;0,58355045
04/08/2023 07:34;0,6225045;0,5881076;0,58355045
04/08/2023 07:35;0,6225045;0,5881076;0,58355045
04/08/2023 07:36;0,6225045;0,5881076;0,58355045
