time;Tag1;Tag2;Tag3
31/07/2023 12:00:00;0,5206163;0,48741317;0,4765625
31/07/2023 12:00:10;0,5206163;0,48741317;0,4765625
31/07/2023 12:00:20;0,5206163;0,48938373;0,4765625
31/07/2023 12:00:30;0,5206163;0,48958337;0,4765625
31/07/2023 12:00:40;0,5206163;0,48958337;0,4785169
31/07/2023 12:00:50;0,5206163;0,48958337;0,4786241
31/07/2023 12:01:00;0,5206163;0,48958337;0,4786241
31/07/2023 12:01:10;0,5206163;0,48958337;0,4786241
31/07/2023 12:01:20;0,5206163;0,48958337;0,4786241
31/07/2023 12:01:30;0,5206163;0,48958337;0,4786241
31/07/2023 12:01:40;0,5206163;0,48958337;0,4786241
31/07/2023 12:01:50;0,5206163;0,48958337;0,4786241
31/07/2023 12:02:00;0,5206163;0,48958337;0,4786241
31/07/2023 12:02:10;0,5206163;0,48958337;0,4786241
31/07/2023 12:02:20;0,5206163;0,48958337;0,4786241
31/07/2023 12:02:30;0,5206163;0,48958337;0,4786241
31/07/2023 12:02:40;0,5206163;0,48958337;0,4786241
31/07/2023 12:02:50;0,5206163;0,48958337;0,4786241
31/07/2023 12:03:00;0,5206163;0,48958337;0,4786241
31/07/2023 12:03:10;0,52138484;0,48958337;0,4786241
31/07/2023 12:03:20;0,52159286;0,48958337;0,4786241
31/07/2023 12:03:30;0,52159286;0,48958337;0,4786241
31/07/2023 12:03:40;0,52159286;0,48958337;0,4786241
31/07/2023 12:03:50;0,52159286;0,48958337;0,4786241
31/07/2023 12:04:00;0,52159286;0,48958337;0,4786241
31/07/2023 12:04:10;0,52159286;0,48958337;0,4786241
31/07/2023 12:04:20;0,52159286;0,48958337;0,4786241
31/07/2023 12:04:30;0,52159286;0,48958337;0,4786241
31/07/2023 12:04:40;0,52159286;0,48958337;0,4786241
31/07/2023 12:04:50;0,52159286;0,48958337;0,4786241
31/07/2023 12:05:00;0,52159286;0,48958337;0,4786241
31/07/2023 12:05:10;0,52159286;0,48958337;0,4786241
31/07/2023 12:05:20;0,52159286;0,48958337;0,4786241
31/07/2023 12:05:30;0,52159286;0,48958337;0,4786241
