time;potencia;rotacao;t1r;t2r;t3r;t4r;g1r;g2r;g3r;g4r
27/01/2023 15:00;134,23007;3600,3938;32,86283;32,810875;68,925606;48,235035;32,163338;26,428865;55,34755;45,377502
27/01/2023 15:10;134,68964;3598,061;34,249878;32,031067;68,36532;47,315346;31,870989;26,700417;55,379246;45,112617
27/01/2023 15:20;134,84259;3599,1887;34,73274;32,233517;67,40817;47,219784;32,68113;26,405409;54,480965;45,069267
27/01/2023 15:30;134,66628;3599,836;33,40545;33,038292;66,79997;48,108917;32,817276;27,375965;55,88325;45,745636
27/01/2023 15:40;134,14029;3601,5374;34,715218;32,866283;66,38042;48,007057;32,642574;26,374647;55,578953;46,696728
27/01/2023 15:50;133,9562;3601,596;33,60006;31,683601;67,38935;48,191864;32,742043;26,009892;55,618248;45,961094
27/01/2023 16:00;134,30698;3600,0667;33,340332;34,073307;67,12248;48,807274;32,895115;27,011349;55,324028;46,112495
27/01/2023 16:10;134,96501;3598,3857;31,550774;32,74239;66,976204;48,133823;32,846764;26,718521;56,041454;45,39399
27/01/2023 16:20;134,87904;3598,3223;32,95253;32,342285;66,21407;47,322807;32,797443;27,306412;55,95238;45,547737
27/01/2023 16:30;135,15337;3598,117;35,30497;32,11816;66,37208;47,510723;33,0105;26,866186;55,707134;46,047615
27/01/2023 16:40;134,5334;3600,7603;34,951153;32,319458;64,770004;47,463318;32,084126;26,741785;56,438408;46,573364
27/01/2023 16:50;133,95773;3601,9377;32,16612;32,48314;65,08502;48,30627;32,772892;26,740171;56,10906;46,065464
27/01/2023 17:00;134,13324;3600,9146;33,961395;31,902779;64,94312;48,398895;33,02062;26,663237;55,47622;46,549175
27/01/2023 17:10;134,26581;3599,625;32,699333;31,857096;65,07301;48,4904;32,51159;26,835485;55,60165;46,31822
27/01/2023 17:20;134,45905;3600,1194;33,38553;32,14307;64,97361;48,05654;32,963844;26,280537;55,377445;45,913994
27/01/2023 17:30;134,43556;3599,6553;33,357502;31,55052;65,3468;48,897366;33,03991;25,641848;55,975487;46,04025
27/01/2023 17:40;133,39064;3602,9504;34,532883;32,888565;65,71891;48,284534;32,674282;26,612196;55,84334;45,202698
27/01/2023 17:50;133,03842;3602,6384;34,370724;37,407135;67,40354;48,601135;32,81316;26,75662;55,972866;45,275806
27/01/2023 18:00;134,48424;3599,7444;34,014748;35,14691;67,24593;48,66985;32,550213;26,407324;55,639256;45,519215
27/01/2023 18:10;134,9781;3598,5652;34,720272;33,44304;67,683174;48,141376;31,334885;25,966888;56,071503;45,720207
