,data,valor,moving_average
106,2022-09-29 01:46:00,59.555706,61.86148770650228
107,2022-09-29 01:47:00,60.16329,61.95495758056641
108,2022-09-29 01:48:00,58.699368,61.92034683227539
109,2022-09-29 01:49:00,68.744774,62.429416275024415
110,2022-09-29 01:50:00,64.417854,62.6265370686849
111,2022-09-29 01:51:00,54.34806,62.5115249633789
112,2022-09-29 01:52:00,55.752174,62.458411407470706
113,2022-09-29 01:53:00,60.13083,61.708953348795575
114,2022-09-29 01:54:00,63.946396,61.89488194783529
115,2022-09-29 01:55:00,61.102654,61.93935941060384
116,2022-09-29 01:56:00,59.082336,61.89792200724284
117,2022-09-29 01:57:00,56.68468,61.88460629781087
118,2022-09-29 01:58:00,60.32551,61.821946970621745
119,2022-09-29 01:59:00,62.989697,61.9237242380778
120,2022-09-29 02:00:00,60.23747,61.98785120646159
121,2022-09-29 02:01:00,57.092308,61.95685869852702
122,2022-09-29 02:02:00,53.64788,61.37297019958496
123,2022-09-29 02:03:00,56.264164,61.30565961201986
124,2022-09-29 02:04:00,53.695038,61.00521914164225
125,2022-09-29 02:05:00,61.167862,60.78361447652181
126,2022-09-29 02:06:00,58.357033,60.67923278808594
127,2022-09-29 02:07:00,60.81513,60.41867281595866
128,2022-09-29 02:08:00,96.37771,61.27550722757975
129,2022-09-29 02:09:00,63.211037,61.468618901570636
130,2022-09-29 02:10:00,58.18904,61.131923294067384
131,2022-09-29 02:11:00,53.792515,61.02387924194336
132,2022-09-29 02:12:00,63.96183,60.998592885335285
133,2022-09-29 02:13:00,59.05226,60.946486155192055
134,2022-09-29 02:14:00,62.283012,60.88443323771159
135,2022-09-29 02:15:00,62.36433,60.88173141479492
136,2022-09-29 02:16:00,62.09952,60.96652526855469
137,2022-09-29 02:17:00,62.20468,61.034571711222334
138,2022-09-29 02:18:00,57.414627,60.991747029622395
139,2022-09-29 02:19:00,59.260334,60.675599034627275
140,2022-09-29 02:20:00,56.96015,60.427008946736656
141,2022-09-29 02:21:00,64.77927,60.77471580505371
142,2022-09-29 02:22:00,58.48552,60.865827306111655
143,2022-09-29 02:23:00,57.059944,60.763464482625324
144,2022-09-29 02:24:00,53.200584,60.40527076721192
145,2022-09-29 02:25:00,54.560616,60.187202835083006
146,2022-09-29 02:26:00,73.77806,60.67706031799317
147,2022-09-29 02:27:00,60.99694,60.82080230712891
148,2022-09-29 02:28:00,54.378365,60.62256418863932
149,2022-09-29 02:29:00,72.58523,60.94241523742676
150,2022-09-29 02:30:00,61.038467,60.96911519368489
151,2022-09-29 02:31:00,70.2016,61.4060915629069
152,2022-09-29 02:32:00,58.98577,61.5840212504069
153,2022-09-29 02:33:00,55.533382,61.559661865234375
154,2022-09-29 02:34:00,69.15534,62.07500534057617
155,2022-09-29 02:35:00,57.1795,61.942059961954754
156,2022-09-29 02:36:00,65.13894,62.16812349955241
157,2022-09-29 02:37:00,82.64317,62.89572499593099
158,2022-09-29 02:38:00,60.855366,61.71164690653483
159,2022-09-29 02:39:00,56.67758,61.49386507670085
160,2022-09-29 02:40:00,76.63588,62.10875968933105
161,2022-09-29 02:41:00,56.04216,62.18374786376953
162,2022-09-29 02:42:00,51.820194,61.779026667277016
163,2022-09-29 02:43:00,71.50795,62.19421628316243
164,2022-09-29 02:44:00,56.120808,61.988809458414714
165,2022-09-29 02:45:00,52.771862,61.66906051635742
166,2022-09-29 02:46:00,55.015522,61.43292719523112
167,2022-09-29 02:47:00,51.37393,61.07190221150716
168,2022-09-29 02:48:00,58.209255,61.09838981628418
169,2022-09-29 02:49:00,54.259125,60.93168284098307
170,2022-09-29 02:50:00,55.131138,60.87071571350098
171,2022-09-29 02:51:00,82.4781,61.460676956176755
172,2022-09-29 02:52:00,63.980667,61.64384854634603
173,2022-09-29 02:53:00,54.95121,61.573557408650714
